id,firstname,surname,born,died,bornCountry,bornCountryCode,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,overallMotivation,share,motivation,name,city,country,undergraduate,undergrad location,undergraduate type,undergraduate major 1,undergraduate major 2,master,master major,phd,graduate,graduate location,graduate type,phd thesis topic 1,phd thesis topic 2,note
677,Ragnar,Frisch,1895-03-03,1973-01-31,Norway,NO,Oslo,Norway,NO,Oslo,male,1969,economics,,2,"""for having developed and applied dynamic models for the analysis of economic processes""",Ragnar Frisch,Oslo,Norway,University of Oslo,Norway,public,economics,0,0,0,1,University of Oslo,Norway,public,mathematics,statistics,
678,Jan,Tinbergen,1903-04-12,1994-06-09,the Netherlands,NL,the Hague,the Netherlands,NL,the Hague,male,1969,economics,,2,"""for having developed and applied dynamic models for the analysis of economic processes""",Jan Tinbergen,Rotterdam,the Netherlands,Leiden University,the Netherlands,public,mathematics,physics,0,0,1,Leiden University,the Netherlands,public,physics,economics,
679,Paul A.,Samuelson,1915-05-15,2009-12-13,USA,US,Gary IN,USA,US,Belmont MA,male,1970,economics,,1,"""for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science""",Paul A. Samuelson,Cambridge MA,USA,University of Chicago,USA,private,economics,0,0,0,1,Harvard University,USA,private,economics,0,
680,Simon,Kuznets,1901-04-30,1985-07-08,Russian Empire (now Belarus),BY,Pinsk,USA,US,Cambridge MA,male,1971,economics,,1,"""for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development""",Simon Kuznets,Cambridge MA,USA,Columbia University,USA,private,economics,0,1,economics,1,Columbia University,USA,private,economics,0,education was disrupted by the Civil War
681,John R.,Hicks,1904-04-08,1989-05-20,United Kingdom,GB,Warwick,United Kingdom,GB,Blockley,male,1972,economics,,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",John R. Hicks,Oxford,United Kingdom,Clifton College,United Kingdom,public,unclear,0,0,0,1,University of Oxford,United Kingdom,public,unclear,0,
682,Kenneth J.,Arrow,1921-08-23,2017-02-21,USA,US,New York NY,USA,US,Palo Alto CA,male,1972,economics,,2,"""for their pioneering contributions to general economic equilibrium theory and welfare theory""",Kenneth J. Arrow,Cambridge MA,USA,City College of New York,USA,public,mathematics,0,1,mathematics,1,Columbia University,USA,private,economics,0,
683,Wassily,Leontief,1906-08-05,1999-02-05,Russia,RU,St. Petersburg,USA,US,New York NY,male,1973,economics,,1,"""for the development of the input-output method and for its application to important economic problems""",Wassily Leontief,Cambridge MA,USA,University of Leningrad,USSR (now Russia),public,economics,0,1,economics,1,University of Leningrad,USSR (now Russia),public,economics,0,bachelor is equivalent to Master of Arts
684,Gunnar,Myrdal,1898-12-06,1987-05-17,Sweden,SE,Skattungbyn,Sweden,SE,Stockholm,male,1974,economics,,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",Gunnar Myrdal,,,Stockholm University,Sweden,public,law,0,0,0,1,Stockholm University,Sweden,public,economics,0,
685,Friedrich,von Hayek,1899-05-08,1992-03-23,Austria,AT,Vienna,Germany,DE,Freiburg,male,1974,economics,,2,"""for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic social and institutional phenomena""",Friedrich von Hayek,,,University of Vienna,Austria,public,economics,0,0,0,1,University of Vienna,Austria,public,law,political science,
686,Leonid Vitaliyevich,Kantorovich,1912-01-19,1986-04-07,Russian Empire (now Russia),RU,St. Petersburg,USSR (now Russia),RU,Moscow,male,1975,economics,,2,"""for their contributions to the theory of optimum allocation of resources""",Leonid Vitaliyevich Kantorovich,Moscow,USSR (now Russia),St Petersburg University,USSR (now Russia),public,mathematics,0,0,0,1,St Petersburg University,USSR (now Russia),public,mathematics,0,
687,Tjalling C.,Koopmans,1910-08-28,1985-02-26,the Netherlands,NL,'s Graveland,USA,US,New Haven CT,male,1975,economics,,2,"""for their contributions to the theory of optimum allocation of resources""",Tjalling C. Koopmans,New Haven CT,USA,Utrecht University,the Netherlands,public,physics,0,0,0,1,Leiden University,the Netherlands,public,economics,0,
688,Milton,Friedman,1912-07-31,2006-11-16,USA,US,Brooklyn NY,USA,US,San Francisco CA,male,1976,economics,,1,"""for his achievements in the fields of consumption analysis monetary history and theory and for his demonstration of the complexity of stabilization policy""",Milton Friedman,Chicago IL,USA,Rutgers University,USA,private,mathematics,economics,1,economics,1,Columbia University,USA,private,economics,0,
689,Bertil,Ohlin,1899-04-23,1979-08-03,Sweden,SE,Klippan,Sweden,SE,V√•l√•dalen,male,1977,economics,,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",Bertil Ohlin,Stockholm,Sweden,Lund University,Sweden,public,mathematics,statistics,1,MA ,1,Stockholm University,Sweden,private,economics,0,
690,James E.,Meade,1907-06-23,1995-12-22,United Kingdom,GB,Swanage,United Kingdom,GB,Cambridge,male,1977,economics,,2,"""for their pathbreaking contribution to the theory of international trade and international capital movements""",James E. Meade,Cambridge,United Kingdom,University of Oxford,United Kingdom,public,philosophy,economics,0,0,1,University of Oxford,United Kingdom,private,economics,0,
691,Herbert,Simon,1916-06-15,2001-02-09,USA,US,Milwaukee WI,USA,US,Pittsburgh PA,male,1978,economics,,1,"""for his pioneering research into the decision-making process within economic organizations""",Herbert Simon,Pittsburgh PA,USA,University of Chicago,USA,private,political science,0,0,0,1,University of Chicago,USA,private,political science,0,
692,Theodore W.,Schultz,1902-04-30,1998-02-26,USA,US,Arlington SD,USA,US,Evanston IL,male,1979,economics,,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Theodore W. Schultz,Chicago IL,USA,South Dakota State,USA,public,agriculture,economics,0,0,1,University of Wisconsin-Madison,USA,public,economics,0,
693,Sir Arthur,Lewis,1915-01-23,1991-06-15,British West Indies (now Saint Lucia),LC,Castries,Barbados,BB,Bridgetown,male,1979,economics,,2,"""for their pioneering research into economic development research with particular consideration of the problems of developing countries""",Sir Arthur Lewis,Princeton NJ,USA,London School of Economics,United Kingdom,public,commerce,0,0,0,1,London School of Economics,United Kingdom,public,economics,0,
694,Lawrence R.,Klein,1920-09-14,2013-10-20,USA,US,Omaha NE,USA,US,Gladwyne PA,male,1980,economics,,1,"""for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies""",Lawrence R. Klein,Philadelphia PA,USA,"University of California, Berkeley",USA,public,economics,0,0,0,1,Massachusetts Institute of Technology,USA,private,economics,0,
695,James,Tobin,1918-03-05,2002-03-11,USA,US,Champaign IL,USA,US,New Haven CT,male,1981,economics,,1,"""for his analysis of financial markets and their relations to expenditure decisions employment production and prices""",James Tobin,New Haven CT,USA,Harvard University,USA,private,economics,0,1,economics,1,Harvard University,USA,private,economics,0,
696,George J.,Stigler,1911-01-17,1991-12-01,USA,US,Renton WA,USA,US,Chicago IL,male,1982,economics,,1,"""for his seminal studies of industrial structures functioning of markets and causes and effects of public regulation""",George J. Stigler,Chicago IL,USA,University of Washington,USA,public,general,0,1,MBA,1,University of Chicago,USA,private,economics,0,
697,Gerard,Debreu,1921-07-04,2004-12-31,France,FR,Calais,France,FR,Paris,male,1983,economics,,1,"""for having incorporated new analytical methods into economic theory and for his rigorous reformulation of the theory of general equilibrium""",Gerard Debreu,Berkeley CA,USA,École Normale Supérieure,France,public,mathematics,0,0,0,1,University of Paris,France,public,economics,0,
698,Richard,Stone,1913-08-30,1991-12-06,United Kingdom,GB,London,United Kingdom,GB,Cambridge,male,1984,economics,,1,"""for having made fundamental contributions to the development of systems of national accounts and hence greatly improved the basis for empirical economic analysis""",Richard Stone,Cambridge,United Kingdom,University of Cambridge,United Kingdom,public,economics,0,0,0,1,University of Cambridge,United Kingdom,public,economics,0,
699,Franco,Modigliani,1918-06-18,2003-09-25,Italy,IT,Rome,USA,US,Cambridge MA,male,1985,economics,,1,"""for his pioneering analyses of saving and of financial markets""",Franco Modigliani,Cambridge MA,USA,Sapienza University of Rome,Italy,public,law,0,0,0,1,New School for Social Research,USA,private,economics,0,
700,James M.,Buchanan Jr.,1919-10-03,2013-01-09,USA,US,Murfreesboro TN,USA,US,Blacksburg VA,male,1986,economics,,1,"""for his development of the contractual and constitutional bases for the theory of economic and political decision-making""",James M. Buchanan Jr.,Fairfax VA,USA,Middle Tennessee State University,USA,public,mathematics,english,0,0,1,University of Chicago,USA,private,economics,0,
701,Robert M.,Solow,1924-08-23,0000-00-00,USA,US,Brooklyn NY,,,,male,1987,economics,,1,"""for his contributions to the theory of economic growth""",Robert M. Solow,Cambridge MA,USA,Harvard University,USA,private,sociology,anthropology,0,0,1,Columbia University,USA,private,economics,statistics,
702,Maurice,Allais,1911-05-31,2010-10-09,France,FR,Paris,France,FR,Paris,male,1988,economics,,1,"""for his pioneering contributions to the theory of markets and efficient utilization of resources""",Maurice Allais,Paris,France,Ecole Polytechnique,France,public,mathematics,philosophy,0,0,1,University of Paris,France,public,unclear,0,
703,Trygve,Haavelmo,1911-12-13,1999-07-26,Norway,NO,Skedsmo,Norway,NO,Oslo,male,1989,economics,,1,"""for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures""",Trygve Haavelmo,Oslo,Norway,University of Oslo,Norway,public,economics,0,0,0,1,Harvard University,USA,private,economics,0,
704,Harry M.,Markowitz,1927-08-24,0000-00-00,USA,US,Chicago IL,,,,male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",Harry M. Markowitz,New York NY,USA,University of Chicago,USA,private,economics,0,0,0,1,University of Chicago,USA,private,economics,0,
705,Merton H.,Miller,1923-05-16,2000-06-03,USA,US,Boston MA,USA,US,Chicago IL,male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",Merton H. Miller,Chicago IL,USA,Harvard University,USA,private,law,0,0,0,1,Johns Hopkins University,USA,private,economics,0,
706,William F.,Sharpe,1934-06-16,0000-00-00,USA,US,Boston MA,,,,male,1990,economics,,3,"""for their pioneering work in the theory of financial economics""",William F. Sharpe,Stanford CA,USA,University of California of Los Angeles,USA,public,economics,0,1,economics,1,University of California of Los Angeles,USA,public,economics,0,
707,Ronald H.,Coase,1910-12-29,2013-09-02,United Kingdom,GB,Willesden,USA,US,Chicago IL,male,1991,economics,,1,"""for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy""",Ronald H. Coase,Chicago IL,USA,London School of Economics,United Kingdom,public,commerce,0,1,economics,1,University of London,United Kingdom,public,economics,0,
708,Gary,Becker,1930-12-02,2014-05-03,USA,US,Pottsville PA,USA,US,Chicago IL,male,1992,economics,,1,"""for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction including nonmarket behaviour""",Gary Becker,Chicago IL,USA,Princeton University,USA,private,economics,0,0,0,1,University of Chicago,USA,private,economics,0,
709,Robert W.,Fogel,1927-07-01,2013-06-11,USA,US,New York NY,USA,US,Oak Lawn IL,male,1993,economics,,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Robert W. Fogel,Chicago IL,USA,Cornell University,USA,private,history,economics,1,economics,1,Johns Hopkins University,USA,private,economics,0,
710,Douglass C.,North,1920-11-05,2015-11-23,USA,US,Cambridge MA,USA,US,Benzonia MI,male,1993,economics,,2,"""for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change""",Douglass C. North,St. Louis MO,USA,"University of California, Berkeley",USA,public,political science,philosophy,0,0,1,"University of California, Berkeley",USA,public,economics,0,
711,John C.,Harsanyi,1920-05-29,2000-08-09,Hungary,HU,Budapest,USA,US,Berkeley CA,male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",John C. Harsanyi,Berkeley CA,USA,Eötvös Loránd University,Hungary,public,pharmacology,0,0,0,1,Eötvös Loránd University,Hungary,public,philosophy,sociology,
712,John F.,Nash Jr.,1928-06-13,2015-05-23,USA,US,Bluefield WV,USA,US,New Jersey NJ,male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",John F. Nash Jr.,Princeton NJ,USA,Carnegie Mellon University,USA,public,mathematics,0,1,mathematics,1,Princeton University,USA,private,mathematics,0,
713,Reinhard,Selten,1930-10-05,2016-08-23,Germany (now Poland),PL,Breslau (now Wroclaw),Poland,PL,Poznan,male,1994,economics,,3,"""for their pioneering analysis of equilibria in the theory of non-cooperative games""",Reinhard Selten,Bonn,Germany,Goethe University Frankfurt,Germany,public,mathematics,0,0,0,1,Goether University Frankfurt,Germany,public,mathematics,0,
714,Robert E.,Lucas Jr.,1937-09-15,0000-00-00,USA,US,Yakima WA,,,,male,1995,economics,,1,"""for having developed and applied the hypothesis of rational expectations and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy""",Robert E. Lucas Jr.,Chicago IL,USA,University of Chicago,USA,private,history,0,0,0,1,University of Chicago,USA,private,economics,0,
